dataset,method,test_acc
cora_full,baseline,0.41386048329316744
cora_full,baseline,0.40741223213704164
cora_full,baseline,0.41053865694001174
cora_full,baseline,0.4028528626327102
cora_full,baseline,0.41959226209861267
cora_full,baseline,0.4061095551358041
cora_full,baseline,0.4182895850973751
cora_full,baseline,0.4165309711457044
cora_full,baseline,0.4070214290366704
cora_full,baseline,0.41561909724483814
cora_full,baseline,0.4086497752882173
cora_full,baseline,0.41978766364879827
cora_full,baseline,0.4119064677913111
cora_full,baseline,0.39529733602553246
cora_full,baseline,0.4128183416921774
cora_full,baseline,0.38995636032045855
cora_full,baseline,0.4057838858854947
cora_full,baseline,0.4058490197355566
cora_full,baseline,0.4037647365335765
cora_full,baseline,0.39653487917670815
cora_full,baseline,0.40415553963394774
cora_full,baseline,0.40708656288673223
cora_full,baseline,0.40324366573308146
cora_full,baseline,0.410408389239888
cora_full,baseline,0.41268807399205365
cora_full,baseline,0.39660001302677
cora_full,baseline,0.40617468898586595
cora_full,baseline,0.41978766364879827
cora_full,baseline,0.4154888295447144
cora_full,baseline,0.40415553963394774
cora_full,baseline,0.4102129876897023
cora_full,baseline,0.4040904057838859
cora_full,baseline,0.4053930827851234
cora_full,baseline,0.41099459389044485
twitter,baseline,0.47099311701081614
twitter,baseline,0.5776794493608652
twitter,baseline,0.5811209439528023
twitter,baseline,0.6307767944936087
twitter,baseline,0.5452310717797444
twitter,baseline,0.5447394296951819
twitter,baseline,0.5766961651917404
twitter,baseline,0.6489675516224189
twitter,baseline,0.5447394296951819
twitter,baseline,0.5142576204523107
twitter,baseline,0.5707964601769911
twitter,baseline,0.5457227138643068
twitter,baseline,0.5589970501474927
twitter,baseline,0.5457227138643068
twitter,baseline,0.6302851524090463
twitter,baseline,0.6509341199606686
twitter,baseline,0.6583087512291053
twitter,baseline,0.6381514257620452
twitter,baseline,0.5599803343166175
twitter,baseline,0.5088495575221239
twitter,baseline,0.5658800393313668
twitter,baseline,0.5471976401179941
twitter,baseline,0.5614552605703048
twitter,baseline,0.5373647984267453
twitter,baseline,0.6352015732546706
twitter,baseline,0.4936086529006883
twitter,baseline,0.5943952802359882
twitter,baseline,0.5496558505408063
twitter,baseline,0.6101278269419862
twitter,baseline,0.6455260570304818
twitter,baseline,0.548180924287119
twitter,baseline,0.6568338249754179
twitter,baseline,0.556047197640118
twitter,baseline,0.5216322517207473
twitter,baseline,0.5594886922320551
twitter,baseline,0.6145526057030481
twitter,baseline,0.5658800393313668
twitter,baseline,0.6583087512291053
twitter,baseline,0.5776794493608652
twitter,baseline,0.5496558505408063
twitter,baseline,0.619960668633235
twitter,baseline,0.5255653883972468
twitter,baseline,0.5924287118977385
twitter,baseline,0.4823008849557522
twitter,baseline,0.6017699115044248
twitter,baseline,0.5098328416912488
twitter,baseline,0.6076696165191741
twitter,baseline,0.5850540806293019
twitter,baseline,0.6455260570304818
twitter,baseline,0.5644051130776795
twitter,baseline,0.5934119960668633
twitter,baseline,0.6273352999016716
twitter,baseline,0.5594886922320551
twitter,baseline,0.6061946902654868
twitter,baseline,0.619960668633235
twitter,baseline,0.6116027531956736
twitter,baseline,0.5363815142576205
twitter,baseline,0.5683382497541789
twitter,baseline,0.5668633235004916
twitter,baseline,0.52015732546706
twitter,baseline,0.5668633235004916
twitter,baseline,0.5014749262536873
twitter,baseline,0.5309734513274337
twitter,baseline,0.6376597836774828
twitter,baseline,0.5968534906588004
twitter,baseline,0.5993117010816126
twitter,baseline,0.5875122910521141
twitter,baseline,0.48180924287118976
twitter,baseline,0.543756145526057
twitter,baseline,0.511307767944936
twitter,baseline,0.5349065880039331
twitter,baseline,0.6179941002949852
twitter,baseline,0.6578171091445427
twitter,baseline,0.4729596853490659
twitter,baseline,0.5929203539823009
twitter,baseline,0.5757128810226155
twitter,baseline,0.5540806293018682
twitter,baseline,0.5211406096361848
twitter,baseline,0.5004916420845624
twitter,baseline,0.5614552605703048
twitter,baseline,0.5491642084562438
twitter,baseline,0.5491642084562438
twitter,baseline,0.5550639134709932
twitter,baseline,0.6342182890855457
twitter,baseline,0.6455260570304818
twitter,baseline,0.5570304818092429
twitter,baseline,0.5373647984267453
twitter,baseline,0.6076696165191741
twitter,baseline,0.5801376597836775
twitter,baseline,0.6474926253687315
twitter,baseline,0.5432645034414946
twitter,baseline,0.6366764995083579
twitter,baseline,0.6268436578171092
twitter,baseline,0.5432645034414946
twitter,baseline,0.5771878072763028
twitter,baseline,0.6160275319567355
twitter,baseline,0.6047197640117994
twitter,baseline,0.5304818092428711
twitter,baseline,0.5383480825958702
